"filename", "language", "JSON", "JavaScript", "Markdown", "CSS", "XML", "HTML", "comment", "blank", "total"
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\package-lock.json", "JSON", 29359, 0, 0, 0, 0, 0, 0, 1, 29360
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\package.json", "JSON", 40, 0, 0, 0, 0, 0, 0, 1, 41
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\App.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 4, 47
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\__tests__\dashboard.test.js", "JavaScript", 0, 23, 0, 0, 0, 0, 5, 7, 35
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\components\addplanneritem\addplanneritem.css", "CSS", 0, 0, 0, 46, 0, 0, 0, 6, 52
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\components\addplanneritem\addplanneritem.jsx", "JavaScript", 0, 72, 0, 0, 0, 0, 0, 4, 76
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\components\features\features.css", "CSS", 0, 0, 0, 47, 0, 0, 0, 6, 53
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\components\features\features.jsx", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 4, 24
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\components\list\arrow.svg", "XML", 0, 0, 0, 0, 15, 0, 1, 3, 19
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\components\list\garbage.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\components\list\list-dots.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 7
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\components\list\list.css", "CSS", 0, 0, 0, 92, 0, 0, 0, 11, 103
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\components\list\list.jsx", "JavaScript", 0, 126, 0, 0, 0, 0, 0, 10, 136
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\components\navbar\Dashboard.svg", "XML", 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\components\navbar\dayplanner.svg", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\components\navbar\nav.css", "CSS", 0, 0, 0, 39, 0, 0, 0, 8, 47
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\components\navbar\nav.jsx", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 6, 44
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\components\navbar\project-logo.svg", "XML", 0, 0, 0, 0, 6, 0, 1, 5, 12
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\components\nodes\input-node.css", "CSS", 0, 0, 0, 48, 0, 0, 0, 7, 55
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\components\nodes\input-node.jsx", "JavaScript", 0, 75, 0, 0, 0, 0, 0, 10, 85
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\components\nodes\node.css", "CSS", 0, 0, 0, 15, 0, 0, 0, 2, 17
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\components\nodes\node.jsx", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 6, 56
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\components\progressbar\progressbar.css", "CSS", 0, 0, 0, 19, 0, 0, 0, 3, 22
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\components\progressbar\progressbar.jsx", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 6, 38
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\components\projectsettings\settings.css", "CSS", 0, 0, 0, 11, 0, 0, 0, 0, 11
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\components\projectsettings\settings.jsx", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 3, 29
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\components\svgs\menulogo.jsx", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 1, 33
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\components\times\times.css", "CSS", 0, 0, 0, 37, 0, 0, 0, 5, 42
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\components\times\times.jsx", "JavaScript", 0, 106, 0, 0, 0, 0, 4, 11, 121
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 1, 4, 10
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\index.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\pages\admin\admin.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\pages\admin\admin.jsx", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\pages\dashboard\dash.css", "CSS", 0, 0, 0, 68, 0, 0, 0, 11, 79
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\pages\dashboard\dash.jsx", "JavaScript", 0, 129, 0, 0, 0, 0, 2, 9, 140
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\pages\dayplanner\dayplanner.css", "CSS", 0, 0, 0, 23, 0, 0, 0, 5, 28
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\pages\dayplanner\dayplanner.jsx", "JavaScript", 0, 143, 0, 0, 0, 0, 1, 17, 161
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\pages\loginpage\login.jsx", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 8, 74
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\pages\mainpage\main.css", "CSS", 0, 0, 0, 60, 0, 0, 1, 10, 71
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\pages\mainpage\main.jsx", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 3, 47
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\pages\project\project.css", "CSS", 0, 0, 0, 65, 0, 0, 0, 12, 77
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\pages\project\project.jsx", "JavaScript", 0, 181, 0, 0, 0, 0, 1, 14, 196
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\pages\projects\plussign.svg", "XML", 0, 0, 0, 0, 5, 0, 1, 0, 6
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\pages\projects\projects.css", "CSS", 0, 0, 0, 71, 0, 0, 0, 10, 81
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\pages\projects\projects.jsx", "JavaScript", 0, 99, 0, 0, 0, 0, 2, 7, 108
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\pages\signuppage\signup.css", "CSS", 0, 0, 0, 48, 0, 0, 0, 6, 54
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\pages\signuppage\signup.jsx", "JavaScript", 0, 78, 0, 0, 0, 0, 0, 9, 87
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\utils\config.dev.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\kevin\Documents\Projects\membrant-app\membrant\src\utils\config.prod.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 2, 6
"Total", "-", 29424, 1410, 3, 689, 52, 20, 43, 268, 31909